triple_index,Academic Year,State/District/School,Test Name,Subject,School,Grade,Score Count,Mean Scale Score,Standard Deviation,% Participation,School Code,_x,_x,Charter Y/N,_x,Physical Address,City,State,Zip Code,Phone,Low grade,High grade,Congressional District,District Setting,Combined Address,Latitude,Longitude,geometry,COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME	,SCHOOL NAME,K-12 COUNT,FREE LUNCH,REDUCED LUNCH,PAID LUNCH,FREE AND REDUCED COUNT,% FREE,% REDUCED,% FREE AND REDUCED,FRL % RANGE,PK-12 Pupil Membership,SPED Count,SPED Pct,EL Count,EL Pct,Homeless Count,Homeless Pct,Gifted and Talented Count,GT Pct,Online Count,Online Pct,Section 504 Count,Section 504 Pct,Immigrant Count,Immigrant Pct,Migrant Count,Migrant Pct,_x,_x,Distr Code,Distr Name,_x,Pre-K,Half-Day K,Full-Day K,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,_x,School Year,_x,_x,2019-2020 Students Counted,Total Days in Session Reported,Attendance Rate*,Truancy Rate** ,Total Days Attended for all Students,Total Student Days Excused Absence for all Students,Total Student Days Unexcused Absence for all Students,Total Days Possible Attendance for all Students,County Code,County Name,School Name,Teacher FTE,Pupil/Teacher FTE Ratio,District Code,District,Total FTE,Average Salary,Total FTE.1,Average Salary.1,Total FTE.2,Average Salary.2,num_from_RORCO,Capacity,is_RORCO,nearby_students,is_rural
2017-18_Grade 03_7512,2017-18,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),Grade 03,44,743.159090909091,35.400659028038,0.977777777777,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,22.400000000000002,28,1,3551,1
2017-18_Grade 04_7512,2017-18,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 04,29,743.068965517241,31.298027133719,0.935483870967,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,25.6,32,1,3551,1
2017-18_Grade 05_7512,2017-18,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 05,32,738.1875,34.286682734018,0.914285714285,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,24.0,30,1,3551,1
2017-18_Grade 06_7512,2017-18,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 06,17,732.529411764706,31.910260197659,0.944444444444,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,21.6,27,1,3551,1
2017-18_Grade 07_7512,2017-18,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 07,17,753,37.121422386541,1,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,18.400000000000002,23,1,3551,1
2018-19_Grade 03_7512,2018-19,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),Grade 03,47,744.595744680851,33.207293315244,1,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,22.400000000000002,28,1,3551,1
2018-19_Grade 04_7512,2018-19,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 04,32,731.0625,30.661457890974,0.941176470588,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,25.6,32,1,3551,1
2018-19_Grade 05_7512,2018-19,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 05,24,753.708333333333,36.513820095561,0.96,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,24.0,30,1,3551,1
2018-19_Grade 06_7512,2018-19,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 06,24,746.083333333333,35.697907217512,0.857142857142,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,21.6,27,1,3551,1
2018-19_Grade 07_7512,2018-19,CHARTER SCHOOL INSTITUTE (8001): ROSS MONTESSORI SCHOOL (7512),CMAS - English Language Arts and Math,English Language Arts,,Grade 07,17,740,25.639325264132,1,7512,8001,Charter School Institute,Y,Ross Montessori School,109 LEWIES LANE,CARBONDALE,CO,81623,9709637199.0,6,80,3,Urban-Suburban,"109 LEWIES LANE, CARBONDALE, CO",39.3957408,-107.2127121,POINT (-11934864.51753784 4778517.62240464),98,NONE,8001,Charter School Institute,Ross Montessori School,250,38,11,201,49,0.152,0.044,0.196,0% - 25%,250,24,0.096,51,0.204,0,0.0,11,0.044,0,0.0,4,0.016,6,0.024,0,0.0,98,NONE,8001,Charter School Institute,Ross Montessori School,0,0,20,37,29,28,32,30,27,23,24,0,0,0,0,250,2019-2020,8001,Charter School Institute,295,173,0.951,0.011,44392.0,1795.0,497.5,46684.5,98,NONE,Ross Montessori School,13.4,19:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,18.400000000000002,23,1,3551,1
2014-15_Grade 03_653,2014-15,CHARTER SCHOOL INSTITUTE (8001): STONE CREEK SCHOOL (0653),CMAS - English Language Arts and Math,English Language Arts,CHARTER SCHOOL INSTITUTE (8001): STONE CREEK SCHOOL (0653),Grade 03,35,737.314285714286,36.580106638454,0.972222222222,653,8001,Charter School Institute,Y,Stone Creek School,20 LINDBERGH DRIVE,GYPSUM,CO,81637,9705693327.0,6,80,2,Urban-Suburban,"20 LINDBERGH DRIVE, GYPSUM, CO",39.64537809999999,-106.8861923,POINT (-11898516.499667918 4814542.619397346),98,NONE,8001,Charter School Institute,Stone Creek School,295,35,15,245,50,0.119,0.051,0.169,0% - 25%,295,41,0.139,53,0.18,0,0.0,7,0.024,0,0.0,14,0.047,0,0.0,0,0.0,98,NONE,8001,Charter School Institute,Stone Creek School,0,0,17,35,40,35,42,30,37,27,32,0,0,0,0,295,2019-2020,8001,Charter School Institute,332,175,0.949,0.003,52806.0,2641.0,184.0,55631.0,98,NONE,Stone Creek School,22.3,13:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,3.599999999999966,35,0,7934,1
2014-15_Grade 04_653,2014-15,CHARTER SCHOOL INSTITUTE (8001): STONE CREEK SCHOOL (0653),CMAS - English Language Arts and Math,English Language Arts,,Grade 04,34,745.764705882353,34.77290727296,0.972222222222,653,8001,Charter School Institute,Y,Stone Creek School,20 LINDBERGH DRIVE,GYPSUM,CO,81637,9705693327.0,6,80,2,Urban-Suburban,"20 LINDBERGH DRIVE, GYPSUM, CO",39.64537809999999,-106.8861923,POINT (-11898516.499667918 4814542.619397346),98,NONE,8001,Charter School Institute,Stone Creek School,295,35,15,245,50,0.119,0.051,0.169,0% - 25%,295,41,0.139,53,0.18,0,0.0,7,0.024,0,0.0,14,0.047,0,0.0,0,0.0,98,NONE,8001,Charter School Institute,Stone Creek School,0,0,17,35,40,35,42,30,37,27,32,0,0,0,0,295,2019-2020,8001,Charter School Institute,332,175,0.949,0.003,52806.0,2641.0,184.0,55631.0,98,NONE,Stone Creek School,22.3,13:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,0.0,42,0,7934,1
2014-15_Grade 05_653,2014-15,CHARTER SCHOOL INSTITUTE (8001): STONE CREEK SCHOOL (0653),CMAS - English Language Arts and Math,English Language Arts,,Grade 05,46,743.391304347826,29.799685502344,0.979591836734,653,8001,Charter School Institute,Y,Stone Creek School,20 LINDBERGH DRIVE,GYPSUM,CO,81637,9705693327.0,6,80,2,Urban-Suburban,"20 LINDBERGH DRIVE, GYPSUM, CO",39.64537809999999,-106.8861923,POINT (-11898516.499667918 4814542.619397346),98,NONE,8001,Charter School Institute,Stone Creek School,295,35,15,245,50,0.119,0.051,0.169,0% - 25%,295,41,0.139,53,0.18,0,0.0,7,0.024,0,0.0,14,0.047,0,0.0,0,0.0,98,NONE,8001,Charter School Institute,Stone Creek School,0,0,17,35,40,35,42,30,37,27,32,0,0,0,0,295,2019-2020,8001,Charter School Institute,332,175,0.949,0.003,52806.0,2641.0,184.0,55631.0,98,NONE,Stone Creek School,22.3,13:1,8001,Charter School Institute,1130.0678,48647,0.0,0,1130.0678,48647,24.0,30,1,7934,1
