Site ID,Site Type,Site Name,Status,Regions,Report Name,Report Submission Date,Report Submission Year,Site Join Date,Well-Child Visits 6 mos - 5 yrs,Books Distributed 6 mos - 5 yrs,Well-Child Visits 0-5 mos,Books Distributed 0-5 mos,Total Well Child Visits in 6 mths,Total Books Distributed in 6 mths,ABB Discrepancy,ABB Discrepancy Notes,W9 received,Physical Location: Line 1,Physical Location: Line 2,Physical Location: Line 3,Physical Location: City,Physical Location: State,Physical Location: Zip,Shipping Address: Line 1,Shipping Address: Line 2,Shipping Address: Line 3,Shipping Address: City,Shipping Address: State,Shipping Address: Zip,County,Trainer Name,Trainer Email,Training %,Total Trained,Insurance: Self Pay Uninsured,Insurance: Private Insurance,Insurance: Medicaid HMO Medicaid,Insurance: Medicare,Insurance: CHIP,Insurance: Tricare,Insurance: Other 1 - Please Specify,Insurance: Other 1,Insurance: Other 2 - Please Specify,Insurance: Other 2,Race: White,Race: Black or African American,Race: Hispanic or Latinx,Race: American Indian   Alaska Native,Race: Asian,Race: Native Hawaiian   Pacific Islander,Race: Multiracial   Biracial,Race: Unknown   Not Reported   Refused,Race: Other - Please Specify,Race: Other 1,Race: Other - Please Specify,Race: Other 2,Language: Amharic (Ethiopia),Language: Arabic,Language: American Sign Language (ASL),Language: Bengali,Language: Bosnian,Language: Burmese (SE Asia),Language: Cambodian,Language: Cape Verdean,Language: Chinese,Language: Dakota (Native American),Language: English,Language: French,Language: Greek,Language: Haitian Creole,Language: Hindi,Language: Hmong,Language: Italian,Language: Japanese,Language: Karen (SE Asia),Language: Korean,Language: Navajo,Language: Ojibwe (Native American),Language: Oromo (Ethiopia),Language: Polish,Language: Portuguese,Language: Russian,Language: Somali,Language: Spanish,Language: Swahili,Language: Tagalog,Language: Vietnamese,Language: Unknown   Not Reported,Language: Please Specify,Language: Other 1,Language: Please Specify,Language: Other 2
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2005 Progress Report,11/17/2005,2005,4 1 1998,4858,1057,,,4858,1057,Program lapse due to CLINICAL personnel changes,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,"Joann Kunugi, PAC",Family Practioner,100%,33,27%,34%,22%,,,,Other public programs,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2006 Progress Report,3/1/2006,2006,4 1 1998,2900,818,,,2900,818,Program lapse due to CLINICAL personnel changes,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Joann Kunugi,CHA,100%,33,39%,18%,31%,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2006 Progress Report,8/31/2006,2006,4 1 1998,2040,545,,,2040,545,Other (please explain below),,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,"Ricardo Velasquez, MD",Medical Director,100%,33,27%,31%,23%,,,,Other Public Programs & CHP+,6%,,,51%,1%,46%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2007 Progress Report,2/27/2007,2007,4 1 1998,0,0,,,0,0,Other (please explain below),,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Joann Kunugi,CHA,100%,33,27%,31%,23%,,,,Other Public Programs & CHP+,6%,,,51%,1%,46%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2007 Progress Report,8/29/2007,2007,4 1 1998,,,,,,,Program lapse due to CLINICAL personnel changes,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Joann Kunugi,CHA,100%,33,27%,31%,23%,,,,Other Public Programs & CHP+,6%,,,51%,1%,46%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2008 Progress Report,3/18/2008,2008,4 1 1998,,,,,,,Program lapse due to CLINICAL personnel changes,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Joann Kunugi,CHA,100%,33,27%,31%,23%,,,,Other Public Programs & CHP+,6%,,,51%,1%,46%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2008 Progress Report,9/4/2008,2008,4 1 1998,0,0,,,0,0,Program lapse due to CLINICAL personnel changes,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Stella Ocampo,MD,100%,33,28%,21%,32%,,,,CHP+,2%,,,51%,1%,46%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2009 Progress Report,3/30/2009,2009,4 1 1998,0,0,,,0,0,Program lapse due to CLINICAL personnel changes,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Carpenter,DO,100%,33,27%,31%,23%,,,,Other Public Programs & CHP+,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2009 Progress Report,8/19/2009,2009,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Carpenter,DO,100%,33,31%,20%,25%,,,,CHP+,4%,,,,,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2010 Progress Report,3/22/2010,2010,4 1 1998,0,0,,,0,0,Other (please explain below),More providers were added to staff and more children are being seen.,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Carpenter,,100%,33,31%,20%,25%,,,,CHP+,4%,,,43%,,42%,,,,,,,,,,,,,,,,,,,,80%,,,,,,,,,,,,,,,,,19%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2010 Progress Report,9/27/2010,2010,4 1 1998,0,0,,,0,0,Other (please explain below),Patter of ROR program seems to be stable.,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Carpenter,carpentera@vwhs.org,100%,33,31%,20%,25%,,,,CHP+,4%,,,40%,,45%,,,,,,,,,,,,,,,,,,,,80%,,,,,,,,,,,,,,,,,19%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2011 Progress Report,2/28/2011,2011,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Carpenter,carpentera@vwhs.org,100%,33,33%,25%,26%,,,,CHP+,3%,,,48%,,42%,,,,,,,,,,,,,,,,,,,,85%,,,,,,,,,,,,,,,,,14%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2011 Progress Report,9/6/2011,2011,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Carpenter,carpentera@vwhs.org,100%,33,35%,21%,27%,,3%,,Medicare,14%,,,47%,1%,52%,,,,,,,,,,,,,,,,,,,,52%,,,,,,,,,,,,,,,,,37%,,,,,,11%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2012 Progress Report,2/29/2012,2012,4 1 1998,,,,,,,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,"Amy Carpenter, DO",carpentera@vwhs.org,100%,33,35%,21%,27%,,3%,,Medicare,14%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,52%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2012 Progress Report,8/14/2012,2012,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,"Amy Carpenter, DO",carpentera@vwhs.org,100%,33,33%,24%,28%,,0%,0%,medicare,15%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2013 Progress Report,2/20/2013,2013,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Judy Duarte,duartej@vwhs.org,100%,33,32%,22%,31%,,0%,0%,medicare,15%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2013 Progress Report,8/19/2013,2013,4 1 1998,,,,,,,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Carpenter DO-FP OB,carpentera@vwhs.org,100%,33,33%,24%,28%,,0%,0%,medicare,15%,,,47%,1%,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2014 Progress Report,2/19/2014,2014,4 1 1998,,,,,,,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Capenter DO-FP OB,carpentera@vwhs.org,100%,33,33%,24%,28%,,0%,0%,medicare,15%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2014 Progress Report,8/13/2014,2014,4 1 1998,,,,,,,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Amy Carpenter DO FP OB,carpentera@vwhs.org,100%,33,33%,24%,28%,,0%,0%,Medicare,15%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2015 Progress Report,2/24/2015,2015,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Dr. Phillip Mendoza,mendozap@vwhs.org,100%,33,33%,24%,28%,,0%,0%,Medicare,15%,,0%,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2015 Progress Report,8/11/2015,2015,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Phillip Mendoza,mendozap@vwhs.org,100%,33,31%,25%,29%,,0%,0%,Medicare,15%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2016 Progress Report,2/3/2016,2016,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Dr. Phillip Mendoza,mendozap@vwhs.org,100%,33,33%,24%,28%,,0%,0%,Medicare,15%,,0%,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2016 Progress Report,8/2/2016,2016,4 1 1998,,,,,,,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Phillip Mendoza,mendozap@vwhs.org,100%,33,33%,22%,30%,,,,Medicare,15%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2017 Progress Report,2/8/2017,2017,4 1 1998,,,,,,,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Phillip Mendoza,mendozap@vwhs.org,100%,33,33%,22%,30%,,,,Medicare,15%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2017 Progress Report,8/3/2017,2017,4 1 1998,,,,,,,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Julie Nuanes,nuanesj@vwhs.org,100%,33,33%,22%,30%,,,,Medicare,15%,,,47%,,52%,,,,,,,,,,,,,,,,,,,,72%,,,,,,,,,,,,,,,,,27%,,,,,,1%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2018 Progress Report,3/14/2018,2018,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Julie Nuanes,Nuanesj@vwhs.org,100%,33,15%,21%,47%,,1%,1%,Medicare,15%,,,47%,,52%,,,,,,,1%,,,,,,,,,,,,,70%,,,,,,,,,,,,,,,,,28%,,,,,,2%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2018 Progress Report,8/27/2018,2018,4 1 1998,0,0,,,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Emelin Martinez,martineze@vwhs.org,100%,33,12%,31%,55%,,1%,1%,,,,,48%,,48%,,,,,,,4%,,,,,,,,,,,,,70%,,,,,,,,,,,,,,,,,28%,,,,,,2%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2019 Progress Report,2/20/2019,2019,4 1 1998,0,0,,,0,0,,N A,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Emelin Martinez,martineze@vwhs.org,100%,33,12%,25%,45%,,2%,,Medicare,16%,,,48%,,48%,,,,,,,4%,,,,,,,,,,,,,70%,,,,,,,,,,,,,,,,,28%,,,,,,2%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2019 Progress Report,8/26/2019,2019,4 1 1998,0,0,,,0,0,Other (please explain below),N\A,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,Emelin Martinez FNP-BC,Martineze@vwhs.org,100%,33,12%,25%,45%,,2%,0%,Medicare,16%,,0%,,,48%,,,,,,Non-Hispanic,48%,Other,4%,,,,,,,,,,,94%,,,,,,,,,,,,,,,,,,,,,,Non - English,6%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2020 Progress Report,2/13/2020,2020,4 1 1998,0,0,,,0,0,Other (please explain below),N A,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,"Emelin Martinez, FNP-BC",Martineze@vwhs.org,100%,33,12%,25%,45%,,2%,0%,,16%,,0%,,,48%,,,,,,,4%,,,,,,,,,,,,,94%,,,,,,,,,,,,,,,,,,,,,,,6%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2020 Progress Report,8/26/2020,2020,4 1 1998,0,0,0,0,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2021 Progress Report,2/16/2021,2021,4 1 1998,0,0,0,0,0,0,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2021 Progress Report,8/24/2021,2021,4 1 1998,0,0,0,0,0,0,COVID-19,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,12%,25%,45%,,2%,0%,,16%,,,,,48%,,,,,,More than one race,48%,,4%,,,,,,,,,,,94%,,,,,,,,,,,,,,,,,,,,,,,6%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),January 2022 Progress Report,2/21/2022,2022,4 1 1998,0,0,0,0,0,0,COVID-19,"VWHS has had a shortage of nurses which has been quite the challenge.  NFP has been struggling as well; 4 of their nurses resigned.  At present time, VWHS is recruiting nurses.",Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,12%,25%,45%,0%,2%,0%,,16%,,0%,48%,,48%,,,,,,,4%,,,,,,,,,,,,,94%,,,,,,,,,,,,,,,,,,,,,,,6%,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),July 2022 Progress Report,8/22/2022,2022,4 1 1998,0,0,0,0,0,0,Program lapse due to CLINICAL personnel changes,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,12%,25%,45%,16%,2%,,,,,,48%,,48%,,,,,4%,,,,,,,,,,,,,,,94%,,,,,,,,,,,,,,,,,6%,,,,,,,,
125,Primary,Valley Wide Health Systems (administrative) (B2B)  ,Active,Southern Colorado (Judy),Site Application,,1899,4 1 1998,700,700,,,700,700,,,Y,128 Market Street,,,Alamosa,CO,81101,Julie Nuanes,Valley-Wide Health Systms,128 Market St,Alamosa,CO,81101,Alamosa,,,100%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.2,Satellite,Valley Wide: Edward M. Kennedy Health Clinic (B2B)  ,Active,Southern Colorado (Judy),January 2007 Progress Report,2/27/2007,2007,4 1 1998,115,59,,,115,59,,,N,925 2nd Ave.,,,Monte Vista,CO,81144,925 2nd. Ave,,,Monte Vista,CO,81144,Rio Grande,,,100%,1,27%,31%,23%,,,,Other Public Programs & CHP+,6%,,,51%,1%,46%,2%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
